ANNEE;COLL_NOM;COLL_SIRET;COLL_TYPE;ACTE_DATE;ACTE_REF;ATTRIB_NOM;ATTRIB_SIRET;SUB_OBJ;SUB_MONTANT;Notification à la commission Européenne
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;ASSOCIATION DE GYMNASTIQUE VOLONTAIRE DE POITIERS OUEST;47972165600100.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique de la gymnastique volontaire en loisirs. L'association dispose de 79 adhérents.";1000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;ASSOCIATION SPORTIVE DE ST ELOI;44122976200000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du football. L'équipe phare évolue au niveau départemental.
L'association dispose de 140 licenciés et adhérents. Elle mène une politique sociale
conséquente sur le quartier de Saint Eloi.";6000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;ASSOCIATION SPORTIVE DES CHEMINOTS POITIERS/BIARD RUGBY;49320233700000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du rugby. 
L'association dispose de 40 licenciés et adhérents";500.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;ASSOCIATION SPORTIVE POITIERS GIBAUDERIE;49817205500000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du football. L'équipe phare évolue au niveau départemental.
L'association dispose de 40 adhérents.";600.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;ASSOCIATION SPORTIVE SOCIALE DES HANDICAPES ET ADHERENTS VALIDES;37886457300000.0;"Association hors critères.
Subvention pour le fonctionnement de l'association. L'ASSHAV propose des activités sportives de compétition et de loisir aux personnes en situation de handicap physique et sensoriel.";9800.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;BEL AIR LES ROC OMNISPORTS CLUB - BAROC;49809506600000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du football. L'équipe phare évolue au niveau départemental.
L'association dispose de 67 licenciés et adhérents.";1600.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;CEP POITIERS SAINT-BENOIT VOLLEY-BALL;47893873100000.0;"Association ""haut niveau"".
Subvention pour la pratique du volley-ball. L'association est rattachée à une fédération délégataire qui compte 100 805 licenciés dont 47 308 femmes. L'équipe phare évolue au deuxième niveau national féminin, la Division Elite Féminine, sur 5 niveaux. Chaque rencontre attire en moyenne 200 spectateurs.";13034.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;CERCLE D'EDUCATION PHYSIQUE POITIERS;50332827000000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du football. L'équipe phare évolue au niveau régional.
L'association dispose de 169 licenciés et adhérents. Elle mène une politique sociale
conséquente.";5000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;ENTENTE POITIERS ATHLE 86 - EPA 86;79749415000000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique de l'athlétisme. L'équipe phare évolue au niveau national.
L'association dispose de 733 licenciés et adhérents. Elle mène une politique éducative et
sociale conséquente.";25000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;FANNY POITEVINE;49789140800000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique de la boule lyonnaise.
L'association dispose de 81 licenciés et adhérents.";900.0;NON
