nomAttribuant;idAttribuant;dateConvention;referenceDecision;idBeneficiaire;nomBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11-02-2016;80344110400012;ASSOCIATION ROQUOISE DE TAI CHI CHAN;SUBVENTION 2016;285.0;Aide en numéraire;Unique;2016-01-01_2016-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;40993872700016;ASSOCIATION DE DANSE A BAILAR;SUBVENTION 2017;500.0;Aide en numéraire;Unique;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2015-01-20;DELIB 04FIN du 20/01/2015;44787766300016;FOOTBALL ASSOCIATION DE ROQUES;SUBVENTION 2015;7500.0;Aide en numéraire;Unique;2015-01-01_2015-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11-02-2016;43933069700012;COMITE ROQUES EN FETE;SUBVENTION 2016;14415.0;Aide en numéraire;Echelonné;2016-01-01_2016-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11-02-2016;80935176000016;KARATE ROQUES;SUBVENTION 2016;1100.0;Aide en numéraire;Unique;2016-01-01_2016-12-31;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-06-20;;50745797600011;ASSOCIATION LES VOIES CROISEES;Organisation d'un festival autour de la voix à Escalquens en octobre 2016. Projet d'itinérance du festival sur d'autres communes en 2016.;2000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;44238180200028;COOP'ACTION;Accompagnement des porteurs de projet dans le domaine du bâtiment;6000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;39102051800026;SERVICE AIDE VICTMES INFORMAT MEDIATION;Prévention des violences intra-familiales;3000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;81755555000018;ROQUES OLYMPIQUE-CLUB;SUBVENTION 2017;5500.0;Aide en numéraire;Echelonné;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;48435336200011;JUDO-CLUB ROQUOIS;SUBVENTION 2017;1600.0;Aide en numéraire;Unique;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;80344110400012;ASSOCIATION ROQUOISE DE TAI CHI CHAN;SUBVENTION 2017;250.0;Aide en numéraire;Unique;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;44093664900019;F.N.A.C.A.;SUBVENTION 2017;300.0;Aide en numéraire;;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;51483473800023;KADANSE;SUBVENTION 2017;1600.0;Aide en numéraire;Unique;2017-01-01_2017-12-31;;non;1.0
